comparison_type,model,percentile,threshold,accuracy,precision,recall,f1,f2,mcc,fpr,fnr,roc_auc,pr_auc,target_fpr_on_val
same_percentile_95,autoencoder,95,0.19705286622047424,0.8747338537970192,0.9229274064058143,0.8510091171199252,0.885510419200519,0.8644819124515158,0.7507304126212941,0.09391411801050355,0.1489908828800748,0.9489187972681677,0.95215811719799,
same_percentile_95,isolation_forest,95,0.48639998303571025,0.8013662171753017,0.9647346757147625,0.675757811891218,0.7947942443405738,0.7188209744533413,0.6503975086767184,0.03264339408917722,0.324242188108782,0.9421472562029803,0.9547250481932641,
same_percentile_97,autoencoder,97,0.2748713493347168,0.8583215046132009,0.9309666458016632,0.8112678251383153,0.8670053297801465,0.832680156762377,0.7247420153893037,0.07949747708783854,0.18873217486168473,0.9489187972681677,0.95215811719799,
same_percentile_97,isolation_forest,97,0.4984560896933295,0.7791873669268985,0.9734779987944545,0.629237123042157,0.7643884892086331,0.6771261341338656,0.6228529016520677,0.022654721449902174,0.37076287695784305,0.9421472562029803,0.9547250481932641,
same_percentile_99,autoencoder,99,0.6734347343444824,0.7538147622427254,0.9382597183776628,0.6074962986051585,0.7374893576766626,0.6535772371355276,0.5693473827947364,0.05282669138090825,0.3925037013948414,0.9489187972681677,0.95215811719799,
same_percentile_99,isolation_forest,99,0.5237970352652014,0.7465844570617459,0.979655079493398,0.5665861450946778,0.7179461861268822,0.6187663818633625,0.5806461631053682,0.015549376995160128,0.4334138549053222,0.9421472562029803,0.9547250481932641,
equal_fpr_on_normal_validation,autoencoder_equal_fpr,99,0.672935962677002,0.7539034776437189,0.9381691326837484,0.6077300709109328,0.7376335950061478,0.6537848939559058,0.5694246229484545,0.05292966738749871,0.39226992908906727,0.9489187972681677,0.95215811719799,0.010023015814091618
equal_fpr_on_normal_validation,isolation_forest_reference_99,99,0.5237970352652014,0.7465844570617459,0.979655079493398,0.5665861450946778,0.7179461861268822,0.6187663818633625,0.5806461631053682,0.015549376995160128,0.4334138549053222,0.9421472562029803,0.9547250481932641,0.010023015814091618
