feature_set,num_features,model,accuracy,precision,recall,f1,f2,mcc,fpr,fnr,roc_auc,pr_auc
A_full_features,122,random_forest,0.783667494677076,0.9686616399622997,0.6406919660250916,0.7712583837531073,0.6872283517218322,0.6268097247863231,0.027391617753063535,0.35930803397490846,0.9597609518690242,0.9622657242362097
A_full_features,122,autoencoder,0.7480482611781405,0.986267845003399,0.5652614353619575,0.7186447394491777,0.6180244347129688,0.5860359174911004,0.010400576665636907,0.43473856463804256,0.9637869662739657,0.9642885757114956
B_remove_constants,121,random_forest,0.778832505322924,0.9684776119402985,0.6320423907114471,0.7649000377216145,0.6792335907012578,0.6198499632817374,0.027185665739882608,0.3679576092885529,0.9574802896998404,0.9586932985178512
B_remove_constants,121,autoencoder,0.7303938963804116,0.9353009408428922,0.5654952076677316,0.7048368298368298,0.6140529014570747,0.5355224628536237,0.05169395530841314,0.43450479233226835,0.9413736402270293,0.9415094979860572
C_remove_constants_and_redundant,114,random_forest,0.7804293825408091,0.9686125312091309,0.6348476583807372,0.766993033327057,0.6818372026848334,0.6221815831601121,0.027185665739882608,0.36515234161926285,0.9588286591189499,0.9600806121288529
C_remove_constants_and_redundant,114,autoencoder,0.7420156139105749,0.9316029031861237,0.5901192238759448,0.7225455586299018,0.6368039555338794,0.549524461606571,0.05725465966429822,0.40988077612405516,0.9334860576721967,0.9097694435272369
