,accuracy,precision,recall,f1,f2,mcc,roc_auc,pr_auc
autoencoder,0.8465667139815471,0.9296846351301797,0.7902283176186394,0.8543026831220252,0.8146690231362468,0.7047601180100026,0.9538512380507651,0.9505624964720067
random_forest,0.7671220723917672,0.9676822499074873,0.6113145795994701,0.7492836676217765,0.6599202543784384,0.602961121228977,0.9558646344324081,0.95831663686569
isolation_forest,0.7602466288147622,0.9312587087784486,0.6249512974362971,0.7479598974119841,0.6689576938475911,0.5747888706888432,0.9441640910026726,0.9539824638058846
logistic_regression,0.756165720369056,0.9170077307867213,0.6285358061248344,0.7458504785242036,0.6707357637040979,0.5617512810112001,0.7797916315452524,0.8612047981478369
